_id: 64ae4f7a4d530437ed60061b, name: 세븐스포츠센터
_id: 64ae4f7a4d530437ed600620, name: 익산교육문화회관 수영장
_id: 63f330e387980732804893ea, name: 강북문화예술회관
_id: 63f330e38798073280489404, name: 언북스포츠센터
_id: 63f330e38798073280489418, name: 성동청소년수련관
_id: 63f330e3879807328048943b, name: 수서청소년센터
_id: 63f330e38798073280489457, name: 신월문화체육센터
_id: 63f330e3879807328048945c, name: 궁동종합사회복지관
_id: 643eae5e077163fc3655ce25, name: 과천시민회관 수영장
_id: 643eae5e077163fc3655ce27, name: 과천시 청소년수련관
_id: 643eae5e077163fc3655ce2b, name: 구리시민스포츠센터
_id: 643eae5e077163fc3655ce3b, name: 별내커뮤니티센터
_id: 643eae5e077163fc3655ce40, name: 탄천종합운동장 수영장
_id: 643eae5e077163fc3655ce41, name: 황새울국민체육센터
_id: 643eae5e077163fc3655ce4a, name: 수원청소년문화센터 수영장 (새천년수영장)
(공사중)
_id: 643eae5e077163fc3655ce4d, name: 서수원주민편익시설
_id: 643eae5e077163fc3655ce52, name: 능곡 어울림센터
_id: 643eae5e077163fc3655ce5b, name: 호계복합청사 수영장
_id: 643eae5e077163fc3655ce61, name: 시흥시국민체육센터
_id: 643eae5e077163fc3655ce64, name: 여주시노인복지관
_id: 643eae5e077163fc3655ce6c, name: 용인시 평생학습관
_id: 643eae5e077163fc3655ce6d, name: 용인시민체육센터
_id: 643eae5e077163fc3655ce72, name: 남사스포츠센터
_id: 643eae5e077163fc3655ce73, name: 원동초스포츠센터
_id: 643eae5e077163fc3655ce77, name: 마리나 수영장
_id: 643eae5e077163fc3655ce79, name: 코오롱스포렉스 파주낙하점
_id: 63f330e387980732804893be, name: 마곡레포츠센터
_id: 63f330e387980732804893f0, name: 마장국민체육센터
_id: 63f330e387980732804893f1, name: 동작구민체육센터
_id: 63f330e387980732804893f3, name: 신길종합사회복지관
_id: 63f330e38798073280489405, name: 광진구민체육센터
_id: 63f330e38798073280489406, name: 광진문화예술회관
_id: 63f330e38798073280489432, name: 서울숲복합문화체육센터
_id: 63f330e38798073280489435, name: 흑석체육센터
_id: 63f330e38798073280489436, name: 역삼청소년수련관
_id: 63f330e38798073280489448, name: 신림체육센터
_id: 643eae5e077163fc3655ce30, name: 군포국민체육센터
_id: 643eae5e077163fc3655ce32, name: 통진문화회관 수영장
_id: 643eae5e077163fc3655ce37, name: 호평체육문화센터
_id: 643eae5e077163fc3655ce3a, name: 에코랜드
_id: 643eae5e077163fc3655ce3c, name: 화도체육문화센터
_id: 643eae5e077163fc3655ce49, name: 성남종합스포츠센터 수영장
_id: 643eae5e077163fc3655ce50, name: 시흥시청소년수련관 수영장
_id: 643eae5e077163fc3655ce54, name: 안산 올림픽 실내수영장
_id: 643eae5e077163fc3655ce60, name: 서부권스포츠센터
_id: 643eae5e077163fc3655ce6a, name: 세교복지타운 수영장
_id: 643eae5e077163fc3655cea2, name: 인천도원수영장
_id: 643eae5e077163fc3655cea5, name: 광산근로자복지센터수영장
_id: 643eae5e077163fc3655cea7, name: 속초국민체육센터
_id: 643eae5e077163fc3655ceb8, name: 대덕국민체육센터
_id: 643eae5e077163fc3655ceb9, name: 용운 국제수영장
_id: 643eae5e077163fc3655cebc, name: 대전 동구국민체육센터
_id: 643eae5e077163fc3655cebd, name: 평송 청소년수련원
_id: 643eae5e077163fc3655cec5, name: 유성구종합복지센터
_id: 643eae5e077163fc3655cece, name: 대전 시립 산성종합복지관
_id: 643eae5e077163fc3655cecf, name: 아름스포츠센터
_id: 643eae5e077163fc3655ced6, name: 계룡스포츠센터
_id: 643eae5e077163fc3655ceda, name: 당진교육문화스포츠센터
_id: 643eae5e077163fc3655cee5, name: 천안종합운동장
_id: 643eae5e077163fc3655cef8, name: 강서체육공원
_id: 643eae5e077163fc3655cefa, name: 금정구국민체육센터
_id: 643eae5e077163fc3655cefe, name: 기장군청소년수련관
_id: 643eae5e077163fc3655cf06, name: 사하구국민체육센터
_id: 643eae5e077163fc3655cf19, name: 거제시문화예술회관
_id: 643eae5e077163fc3655cf1d, name: 울산중구수영장
_id: 643eae5e077163fc3655cf22, name: 산청문화예술회관
_id: 643eae5e077163fc3655cf26, name: 의령국민체육센터
_id: 643eae5e077163fc3655cf35, name: 하동국민체육센터
_id: 643eae5e077163fc3655cf49, name: 영천 종합스포츠센터
_id: 643eae5e077163fc3655cf59, name: 달서아트센터 수영장
_id: 643eae5e077163fc3655cf5c, name: 달서구 청소년수련관
_id: 643eae5e077163fc3655cf63, name: 성서국민체육센터
_id: 643eae5e077163fc3655ce89, name: 동탄어울림체육센터
_id: 643eae5e077163fc3655ce93, name: 동구문화체육센터
_id: 643eae5e077163fc3655ce98, name: 인천 여성문화회관 수영장
_id: 643eae5e077163fc3655ce99, name: 검단복지회관
