_id: 643eae5e077163fc3655cf4e, name: 의성청소년센터
_id: 643eae5e077163fc3655cf4f, name: 의성국민체육센터
_id: 643eae5e077163fc3655cf53, name: 칠곡 교육문화회관 수영장
_id: 643eae5e077163fc3655cf58, name: 대구 올림픽기념국민생활관 수영장
_id: 643eae5e077163fc3655cf75, name: 광주광역시청 여성발전센터
_id: 643eae5e077163fc3655cf6e, name: 광주장애인종합복지관
_id: 643eae5e077163fc3655cf7f, name: 전남교육문화회관 수영장
_id: 643eae5e077163fc3655cf88, name: 우슬국민체육센터
_id: 643eae5e077163fc3655cf89, name: 남원국민체육센터
_id: 645f25de3b0b92b6522cc409, name: 에덴스포츠타운
_id: 64ae4f7a4d530437ed600582, name: 고양백석체육센터
_id: 64ae4f7a4d530437ed60058c, name: 서브마린수영장 경기광주점
_id: 64ae4f7a4d530437ed60058f, name: 도농애시앙 스포츠센터
_id: 64ae4f7a4d530437ed600593, name: 성남YMCA LH스포츠센터
_id: 64ae4f7a4d530437ed60059b, name: 버드내노인복지관
_id: 64ae4f7a4d530437ed6005a0, name: 한샘레포츠타운 산업단지
_id: 64ae4f7a4d530437ed6005a5, name: 트윈스포츠센터
_id: 64ae4f7a4d530437ed6005a6, name: 아쿠아온 시흥플랑드르
_id: 64ae4f7a4d530437ed6005b1, name: 송도아쿠아틱센터
_id: 64ae4f7a4d530437ed6005bd, name: 원주농민문화체육센터
_id: 64ae4f7a4d530437ed6005c1, name: 뉴그린수영장
_id: 64ae4f7a4d530437ed6005cb, name: 삼부스포렉스수영장
_id: 64ae4f7a4d530437ed6005d0, name: 서산학생수영장
_id: 64ae4f7a4d530437ed6005d1, name: 경희한얼수영장
_id: 64ae4f7a4d530437ed6005d6, name: 홍성학생수영장
_id: 64ae4f7a4d530437ed6005e4, name: 더스포츠센터
_id: 64ae4f7a4d530437ed6005e9, name: 성황스포츠센터 수영장
_id: 64ae4f7a4d530437ed600600, name: 섬진강문화센터
_id: 64ae4f7a4d530437ed600602, name: 푸르뫼스포츠센터
_id: 64ae4f7a4d530437ed600603, name: 더퍼스트 수영장
_id: 64ae4f7a4d530437ed600606, name: 라한셀렉트 경주
_id: 64ae4f7a4d530437ed600614, name: 선스포츠프라자
_id: 64ae4f7a4d530437ed600616, name: 라온휘트니스
_id: 64ae4f7a4d530437ed60061d, name: 광주체육고등학교 수영장
_id: 64ae4f7a4d530437ed600621, name: 만성시티 피트니스센터
_id: 643eae5e077163fc3655cf79, name: 신대유청소년수영장
_id: 643eae5e077163fc3655cf8e, name: 완주국민체육센터
_id: 643eae5e077163fc3655cf9f, name: 애월국민체육센터
_id: 643eae5e077163fc3655cfa5, name: 정읍청소년수련관
_id: 643eae5e077163fc3655cfa6, name: 서귀포홍리실내수영장
_id: 645f25de3b0b92b6522cc3ff, name: 클래스윔 서면초량점
_id: 645f25de3b0b92b6522cc403, name: 금정산온천레포츠
_id: 64ae4f7a4d530437ed600584, name: 고양시재활스포츠센터
_id: 64ae4f7a4d530437ed60058e, name: 한숲스포츠센타
_id: 64ae4f7a4d530437ed600590, name: 신안웰리스 스포츠센터
_id: 64ae4f7a4d530437ed600592, name: 부천 W휘트니스
_id: 64ae4f7a4d530437ed600594, name: 패밀리스포츠센터
_id: 64ae4f7a4d530437ed600596, name: 스포츠클럽그린힐
_id: 64ae4f7a4d530437ed600598, name: 서호노인복지관
_id: 64ae4f7a4d530437ed60059c, name: 수원시녹색교통회관
_id: 64ae4f7a4d530437ed60059e, name: 하이츠스포츠센터
_id: 64ae4f7a4d530437ed6005a2, name: 메인스포츠클럽
_id: 64ae4f7a4d530437ed6005a3, name: 석천스포츠
_id: 64ae4f7a4d530437ed6005a7, name: 포천 강남스포렉스
_id: 64ae4f7a4d530437ed6005a9, name: 진명스포아트
_id: 64ae4f7a4d530437ed6005ac, name: 인천북부문화체육센터
_id: 64ae4f7a4d530437ed6005af, name: 소사벌레포츠타운
_id: 64ae4f7a4d530437ed6005b0, name: 송도 박태환수영장
_id: 64ae4f7a4d530437ed6005c3, name: 추목수영장
_id: 64ae4f7a4d530437ed6005d2, name: 오션수영장
_id: 64ae4f7a4d530437ed6005d3, name: 천안 음파음파 수영장
_id: 64ae4f7a4d530437ed6005e0, name: 신나는사상스포츠클럽
_id: 64ae4f7a4d530437ed6005eb, name: KBS목포88체육관
